instance_id,task_type,variant_type,lang,repo,original_split,empirical_success_rate,reward_mean,reward_std,difficulty,difficulty_score,train_recommended,n_f2p_effective,n_p2p_effective,prompt_tokens
pyupio__safety.7654596b.combine_file__e5r40nb1,swe_patch,swe_64k,ko,swesmith/pyupio__safety.7654596b,train,0.0,0.13864362228063462,0.17916302759506952,very_hard,10,True,25,28,58102
Knio__dominate.9082227e.func_basic__vk3b9n0c,swe_patch,swe_32k,en,swesmith/Knio__dominate.9082227e,train,0.375,0.375,0.4841229182759271,medium,6,True,1,30,24521
pyupio__safety.7654596b.combine_module__7gp14oar,swe_patch,swe_32k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.043750000000000004,0.03903123748998999,very_hard,10,True,2,29,28290
Knio__dominate.9082227e.func_basic__o8ou3kcn,swe_patch,swe_32k,ko,swesmith/Knio__dominate.9082227e,train,0.625,0.625,0.4841229182759271,easy,4,True,1,30,24597
mahmoud__boltons.3bfcfdd0.combine_file__zbreonqj,swe_patch,swe_128k,en,swesmith/mahmoud__boltons.3bfcfdd0,train,0.0,0.03943375672974064,0.07415117559954414,very_hard,10,True,3,30,116846
jd__tenacity.0d40e76f.combine_file__ktykmrgz,swe_patch,swe_32k,en,swesmith/jd__tenacity.0d40e76f,train,0.0,0.10366563145999497,0.16741135907100063,very_hard,10,True,5,30,22956
pyupio__safety.7654596b.combine_file__ve70248y,swe_patch,swe_64k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.037500000000000006,0.033071891388307385,very_hard,10,True,13,29,58348
pyupio__safety.7654596b.combine_file__sbf8hcsg,swe_patch,swe_32k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.06875,0.03479852726768764,very_hard,10,True,13,29,27985
PyCQA__flake8.cf1542ce.combine_file__4w2x9qv4,swe_patch,swe_128k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.018750000000000003,0.024206145913796356,very_hard,10,True,46,30,75367
jaraco__inflect.c079a96a.func_basic__dbo4i67m,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,7,30,52744
oauthlib__oauthlib.1fd52536.combine_file__5u9sk9ee,swe_patch,swe_32k,en,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.12057194371951868,0.10083052678430754,very_hard,10,True,5,30,28193
pdfminer__pdfminer.six.1a8bd2f7.combine_file__s1ljna0u,swe_patch,swe_32k,en,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.07522366596101028,0.07955270750633445,very_hard,10,True,50,30,28277
bottlepy__bottle.a8dfef30.func_basic__3o4hv5ws,swe_patch,swe_64k,ko,swesmith/bottlepy__bottle.a8dfef30,train,0.875,0.875,0.33071891388307384,very_easy,1,True,1,30,58279
Suor__funcy.207a7810.combine_file__kf50a2ph,swe_patch,swe_64k,ko,swesmith/Suor__funcy.207a7810,train,0.0,0.31213203435596426,0.0,unsolved_no_signal,10,False,2,30,38396
pygments__pygments.27649ebb.combine_file__1uoyde1x,swe_patch,swe_64k,ko,swesmith/pygments__pygments.27649ebb,train,0.25,0.41811183104847816,0.3699047908651754,medium,8,True,9,30,58301
pyupio__safety.7654596b.combine_module__9rn6emo5,swe_patch,swe_128k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.037500000000000006,0.033071891388307385,very_hard,10,True,2,29,118853
Suor__funcy.207a7810.combine_file__b3usvi20,swe_patch,swe_32k,en,swesmith/Suor__funcy.207a7810,train,0.0,0.1170495128834866,0.15111027135981137,very_hard,10,True,2,30,28314
pyupio__safety.7654596b.combine_file__rof0dnio,swe_patch,swe_128k,ko,swesmith/pyupio__safety.7654596b,train,0.0,0.018750000000000003,0.024206145913796356,very_hard,10,True,7,30,117950
mahmoud__boltons.3bfcfdd0.func_basic__cgc05xp5,swe_patch,swe_128k,en,swesmith/mahmoud__boltons.3bfcfdd0,train,0.125,0.13125,0.32876425824593525,hard,9,True,1,30,117826
mahmoud__boltons.3bfcfdd0.combine_file__ol79yd75,swe_patch,swe_32k,en,swesmith/mahmoud__boltons.3bfcfdd0,train,0.0,0.08125,0.03479852726768764,very_hard,10,True,2,30,28129
Suor__funcy.207a7810.combine_file__5pn9f8oq,swe_patch,swe_64k,en,swesmith/Suor__funcy.207a7810,train,0.0,0.071875,0.08143008887997114,very_hard,10,True,4,30,38855
Suor__funcy.207a7810.combine_file__kgrqkjkr,swe_patch,swe_64k,ko,swesmith/Suor__funcy.207a7810,train,0.0,0.08750000000000001,0.033071891388307385,very_hard,10,True,15,30,38478
oauthlib__oauthlib.1fd52536.combine_file__39khb9no,swe_patch,swe_32k,en,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.0625,0.04841229182759271,very_hard,10,True,1,30,28357
agronholm__typeguard.b6a7e438.combine_file__l6xpw0sc,swe_patch,swe_32k,en,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.037500000000000006,0.0414578098794425,very_hard,10,True,50,30,27868
bottlepy__bottle.a8dfef30.func_basic__6b8t5a7k,swe_patch,swe_128k,ko,swesmith/bottlepy__bottle.a8dfef30,train,0.25,0.25625,0.42970738590347735,medium,8,True,8,30,96303
jaraco__inflect.c079a96a.func_basic__e6bhg47n,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,8,30,52612
jaraco__inflect.c079a96a.func_basic__eyxpbrah,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,7,30,52598
PyCQA__flake8.cf1542ce.combine_file__v8lc596p,swe_patch,swe_32k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.018750000000000003,0.03479852726768764,very_hard,10,True,5,30,27981
pdfminer__pdfminer.six.1a8bd2f7.func_basic__1ageli1n,swe_patch,swe_32k,en,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.25,0.26875,0.4227421643271463,medium,8,True,2,30,27959
pygments__pygments.27649ebb.combine_file__1av74s7e,swe_patch,swe_128k,en,swesmith/pygments__pygments.27649ebb,train,0.0,0.025,0.03535533905932738,very_hard,10,True,29,30,116983
pyupio__safety.7654596b.combine_module__6gxvy2xw,swe_patch,swe_64k,ko,swesmith/pyupio__safety.7654596b,train,0.0,0.025,0.04330127018922194,very_hard,10,True,1,29,58136
pyupio__safety.7654596b.combine_module__5bh42ayv,swe_patch,swe_128k,ko,swesmith/pyupio__safety.7654596b,train,0.0,0.03125,0.04284784125250653,very_hard,10,True,4,29,119018
jaraco__inflect.c079a96a.func_basic__5cucjnbf,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,1,30,52565
pdfminer__pdfminer.six.1a8bd2f7.func_basic__06convwo,swe_patch,swe_64k,en,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.25,0.25,0.4330127018922193,medium,8,True,1,30,57605
Knio__dominate.9082227e.combine_file__goh3sa64,swe_patch,swe_32k,ko,swesmith/Knio__dominate.9082227e,train,0.0,0.0625,0.04841229182759271,very_hard,10,True,5,30,24801
Knio__dominate.9082227e.func_pm_ctrl_shuffle__p7q9mdxe,swe_patch,swe_32k,ko,swesmith/Knio__dominate.9082227e,train,0.875,0.875,0.33071891388307384,very_easy,1,True,1,30,24771
PyCQA__flake8.cf1542ce.combine_file__ddyvctvg,swe_patch,swe_32k,ko,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.12023502691896257,0.0968618105976526,very_hard,10,True,3,30,27875
agronholm__typeguard.b6a7e438.combine_file__z8bzaj2a,swe_patch,swe_64k,ko,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.0625,0.0414578098794425,very_hard,10,True,50,30,62061
oauthlib__oauthlib.1fd52536.combine_file__519420f6,swe_patch,swe_128k,en,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.06875,0.04284784125250653,very_hard,10,True,50,30,118047
Knio__dominate.9082227e.func_basic__n967oo4y,swe_patch,swe_32k,ko,swesmith/Knio__dominate.9082227e,train,0.125,0.18125,0.31218734359355443,hard,9,True,4,30,24524
agronholm__typeguard.b6a7e438.combine_module__1knoriqb,swe_patch,swe_64k,ko,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.018750000000000003,0.03479852726768764,very_hard,10,True,50,30,62401
pygments__pygments.27649ebb.combine_file__2u34qh2v,swe_patch,swe_64k,en,swesmith/pygments__pygments.27649ebb,train,0.0,0.037500000000000006,0.04841229182759271,very_hard,10,True,50,30,58487
pyupio__safety.7654596b.combine_file__m92kensw,swe_patch,swe_64k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.05,0.05,very_hard,10,True,4,29,58360
mahmoud__boltons.3bfcfdd0.combine_file__ihyco1e8,swe_patch,swe_128k,ko,swesmith/mahmoud__boltons.3bfcfdd0,train,0.0,0.1357995128834866,0.14019948244307137,very_hard,10,True,2,30,118885
jd__tenacity.0d40e76f.combine_file__hmo3b7hp,swe_patch,swe_32k,en,swesmith/jd__tenacity.0d40e76f,train,0.0,0.06265038687952187,0.052435067504159084,very_hard,10,True,26,14,28229
pygments__pygments.27649ebb.combine_file__3zhkehcy,swe_patch,swe_64k,en,swesmith/pygments__pygments.27649ebb,train,0.0,0.19303303986426637,0.1611379518274901,very_hard,10,True,11,30,58560
jaraco__inflect.c079a96a.func_basic__5pzge45q,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,6,30,52518
mahmoud__boltons.3bfcfdd0.func_basic__5vq1fa1x,swe_patch,swe_32k,ko,swesmith/mahmoud__boltons.3bfcfdd0,train,1.0,1.0,0.0,trivial,0,False,4,30,28034
oauthlib__oauthlib.1fd52536.combine_file__0qgnxkrq,swe_patch,swe_128k,en,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.04030151392945465,0.0576741742771004,very_hard,10,True,13,30,117501
oauthlib__oauthlib.1fd52536.combine_file__0mvyid7d,swe_patch,swe_32k,ko,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.08750000000000001,0.033071891388307385,very_hard,10,True,13,30,28447
pyupio__safety.7654596b.combine_file__mwteckxl,swe_patch,swe_128k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.025,0.03535533905932738,very_hard,10,True,1,29,117190
bottlepy__bottle.a8dfef30.func_basic__35d6hr69,swe_patch,swe_128k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.26104742506514655,0.287987164435997,very_hard,10,True,50,30,96214
Knio__dominate.9082227e.pr_166,swe_patch,swe_32k,en,swesmith/Knio__dominate.9082227e,train,0.5,0.51875,0.48214203042257164,easy,5,True,1,30,24568
agronholm__typeguard.b6a7e438.combine_module__1qs2br8y,swe_patch,swe_32k,ko,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.17833160213603583,0.19767104013183567,very_hard,10,True,50,30,28324
bottlepy__bottle.a8dfef30.func_basic__5jjbzd7u,swe_patch,swe_128k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.0,0.0,unsolved_no_signal,10,False,1,30,96213
jd__tenacity.0d40e76f.combine_file__l80x0v9y,swe_patch,swe_64k,en,swesmith/jd__tenacity.0d40e76f,train,0.0,0.08308281572999748,0.07222401869443973,very_hard,10,True,50,25,36612
pdfminer__pdfminer.six.1a8bd2f7.combine_file__k4rf315w,swe_patch,swe_32k,en,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.03125,0.04284784125250653,very_hard,10,True,35,30,27950
pdfminer__pdfminer.six.1a8bd2f7.combine_file__4bmgk2fe,swe_patch,swe_32k,ko,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.071547432685057,0.11300706697274904,very_hard,10,True,35,30,28230
agronholm__typeguard.b6a7e438.combine_file__klhoyyyb,swe_patch,swe_64k,en,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.0125,0.02165063509461097,very_hard,10,True,4,30,62336
jd__tenacity.0d40e76f.combine_module__nakua4hv,swe_patch,swe_32k,ko,swesmith/jd__tenacity.0d40e76f,train,0.0,0.051290994448735805,0.044897284010731064,very_hard,10,True,15,30,22869
agronholm__typeguard.b6a7e438.combine_file__vt93kwbv,swe_patch,swe_64k,ko,swesmith/agronholm__typeguard.b6a7e438,train,0.25,0.325,0.3897114317029974,medium,8,True,1,30,62409
bottlepy__bottle.a8dfef30.func_basic__5wlfrp85,swe_patch,swe_64k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.05625,0.046351240544347895,very_hard,10,True,18,30,57287
oauthlib__oauthlib.1fd52536.combine_file__1utlssis,swe_patch,swe_64k,ko,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.00625,0.016535945694153693,very_hard,10,True,1,30,58375
pudo__dataset.5c2dc8d3.func_pm_remove_assign__wisytcfw,swe_patch,swe_32k,ko,swesmith/pudo__dataset.5c2dc8d3,train,0.5,0.55,0.45,easy,5,True,2,30,18343
pyupio__safety.7654596b.combine_file__ar1yz5p5,swe_patch,swe_32k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.043750000000000004,0.029973947020704498,very_hard,10,True,1,29,28226
mahmoud__boltons.3bfcfdd0.combine_file__ozufqtez,swe_patch,swe_64k,en,swesmith/mahmoud__boltons.3bfcfdd0,train,0.0,0.018750000000000003,0.024206145913796356,very_hard,10,True,2,30,57690
bottlepy__bottle.a8dfef30.func_basic__1dt250gk,swe_patch,swe_64k,ko,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.03901650429449553,0.10322796739031878,very_hard,10,True,2,30,57674
jd__tenacity.0d40e76f.combine_file__s88gei6c,swe_patch,swe_64k,en,swesmith/jd__tenacity.0d40e76f,train,0.0,0.10460953634771042,0.20250499037084604,very_hard,10,True,14,30,36813
pudo__dataset.5c2dc8d3.combine_file__4oc6t9ws,swe_patch,swe_32k,en,swesmith/pudo__dataset.5c2dc8d3,train,0.125,0.24024922359499623,0.29153071069957753,hard,9,True,5,30,18467
PyCQA__flake8.cf1542ce.func_basic__4p568z8i,swe_patch,swe_32k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.08750000000000001,0.033071891388307385,very_hard,10,True,4,30,28159
pudo__dataset.5c2dc8d3.combine_file__2krxnkkn,swe_patch,swe_32k,ko,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.08750000000000001,0.033071891388307385,very_hard,10,True,30,28,18382
Knio__dominate.9082227e.combine_file__d7fon4r9,swe_patch,swe_32k,ko,swesmith/Knio__dominate.9082227e,train,0.0,0.0830992387073406,0.0497670065232226,very_hard,10,True,7,30,24692
pudo__dataset.5c2dc8d3.func_pm_op_change_const__06dgb4ak,swe_patch,swe_32k,en,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.03125,0.024206145913796356,very_hard,10,True,2,30,18394
pdfminer__pdfminer.six.1a8bd2f7.combine_file__n3q10r4i,swe_patch,swe_32k,ko,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.06875,0.04284784125250653,very_hard,10,True,6,30,28140
Suor__funcy.207a7810.combine_file__n10h9w68,swe_patch,swe_32k,ko,swesmith/Suor__funcy.207a7810,train,0.0,0.1,0.0,unsolved_no_signal,10,False,8,30,28377
mahmoud__boltons.3bfcfdd0.func_basic__4qcfel1l,swe_patch,swe_128k,ko,swesmith/mahmoud__boltons.3bfcfdd0,train,0.5,0.50625,0.4939872847553872,easy,5,True,5,30,116663
oauthlib__oauthlib.1fd52536.combine_file__868k2n2u,swe_patch,swe_64k,ko,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.1253996580927726,0.17701419162156723,very_hard,10,True,6,30,58511
jd__tenacity.0d40e76f.combine_file__nz9s0cog,swe_patch,swe_32k,ko,swesmith/jd__tenacity.0d40e76f,train,0.0,0.13697127263159872,0.04772970773009196,very_hard,10,True,50,30,28297
Knio__dominate.9082227e.combine_file__kbi8bkks,swe_patch,swe_32k,en,swesmith/Knio__dominate.9082227e,train,0.0,0.06384026183836178,0.11415985868982917,very_hard,10,True,10,30,24606
Suor__funcy.207a7810.combine_file__hpynyyl2,swe_patch,swe_32k,en,swesmith/Suor__funcy.207a7810,train,0.0,0.043750000000000004,0.046351240544347895,very_hard,10,True,1,30,27935
jd__tenacity.0d40e76f.combine_file__hr16k2ip,swe_patch,swe_64k,ko,swesmith/jd__tenacity.0d40e76f,train,0.0,0.08485685011586676,0.1150681754942985,very_hard,10,True,5,30,37084
pdfminer__pdfminer.six.1a8bd2f7.combine_file__qunnfx70,swe_patch,swe_128k,en,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.00625,0.016535945694153693,very_hard,10,True,2,30,118442
pdfminer__pdfminer.six.1a8bd2f7.combine_file__mb0vz2oh,swe_patch,swe_128k,en,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.09115423306184368,0.12668919609530965,very_hard,10,True,50,30,116599
bottlepy__bottle.a8dfef30.func_basic__152zvdf6,swe_patch,swe_64k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.0,0.0,unsolved_no_signal,10,False,1,30,57365
PyCQA__flake8.cf1542ce.combine_file__bgj05v4r,swe_patch,swe_128k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.037500000000000006,0.0414578098794425,very_hard,10,True,2,30,75653
jaraco__inflect.c079a96a.func_basic__56s87rnj,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,5,29,52645
pudo__dataset.5c2dc8d3.func_basic__rveulv1r,swe_patch,swe_32k,en,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.0625,0.033071891388307385,very_hard,10,True,1,30,18425
PyCQA__flake8.cf1542ce.func_basic__tef8cs2v,swe_patch,swe_32k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.037500000000000006,0.033071891388307385,very_hard,10,True,25,30,27798
Suor__funcy.207a7810.combine_file__ngqssnyf,swe_patch,swe_64k,en,swesmith/Suor__funcy.207a7810,train,0.0,0.05,0.03535533905932738,very_hard,10,True,4,30,38544
agronholm__typeguard.b6a7e438.combine_file__uxmeqk7t,swe_patch,swe_64k,en,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.043750000000000004,0.046351240544347895,very_hard,10,True,1,30,58301
oauthlib__oauthlib.1fd52536.combine_file__3oyoy4m0,swe_patch,swe_32k,en,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.0,0.0,unsolved_no_signal,10,False,13,30,28498
bottlepy__bottle.a8dfef30.func_basic__6849utgq,swe_patch,swe_64k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.0,0.0,unsolved_no_signal,10,False,1,30,57758
Knio__dominate.9082227e.combine_file__n1qm27ke,swe_patch,swe_32k,ko,swesmith/Knio__dominate.9082227e,train,0.0,0.1927761584890428,0.13745029798445696,very_hard,10,True,6,30,24771
PyCQA__flake8.cf1542ce.func_basic__ty1ie75n,swe_patch,swe_128k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.25,0.25,0.4330127018922193,medium,8,True,1,30,75577
PyCQA__flake8.cf1542ce.combine_module__p15ejm6y,swe_patch,swe_64k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.0125,0.033071891388307385,very_hard,10,True,3,30,58059
pudo__dataset.5c2dc8d3.func_basic__hvfjr8u8,swe_patch,swe_32k,ko,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.08750000000000001,0.033071891388307385,very_hard,10,True,4,30,18534
jaraco__inflect.c079a96a.func_basic__0hwljtvh,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,6,30,52634
pdfminer__pdfminer.six.1a8bd2f7.func_basic__055x2yzv,swe_patch,swe_32k,en,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.037500000000000006,0.0414578098794425,very_hard,10,True,14,30,27987
Knio__dominate.9082227e.combine_file__ipd1y2xj,swe_patch,swe_32k,en,swesmith/Knio__dominate.9082227e,train,0.0,0.07357022603955159,0.0718188591519044,very_hard,10,True,9,30,24482
pudo__dataset.5c2dc8d3.func_basic__67gq3d1w,swe_patch,swe_32k,en,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.0,0.0,unsolved_no_signal,10,False,1,30,18299
jd__tenacity.0d40e76f.combine_file__oicq97rw,swe_patch,swe_64k,en,swesmith/jd__tenacity.0d40e76f,train,0.25,0.28125,0.4167864411182302,medium,8,True,25,30,36892
oauthlib__oauthlib.1fd52536.combine_file__0fceycuu,swe_patch,swe_64k,ko,swesmith/oauthlib__oauthlib.1fd52536,train,0.0,0.21609913810109577,0.12476489555431376,very_hard,10,True,13,30,58803
Knio__dominate.9082227e.func_basic__01pkn73c,swe_patch,swe_32k,en,swesmith/Knio__dominate.9082227e,train,0.375,0.375,0.4841229182759271,medium,6,True,1,30,24604
oauthlib__oauthlib.1fd52536.combine_file__3bgiin60,swe_patch,swe_64k,ko,swesmith/oauthlib__oauthlib.1fd52536,train,0.625,0.63125,0.4762729653255578,easy,4,True,50,30,58042
pdfminer__pdfminer.six.1a8bd2f7.combine_file__bjts5roo,swe_patch,swe_128k,ko,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.03125,0.04284784125250653,very_hard,10,True,3,30,113825
jaraco__inflect.c079a96a.func_basic__1jrv4g0i,swe_patch,swe_64k,ko,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,7,30,52708
pudo__dataset.5c2dc8d3.combine_file__fboctjy6,swe_patch,swe_32k,en,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.05,0.05,very_hard,10,True,3,30,18390
pudo__dataset.5c2dc8d3.func_pm_op_swap__2oxgipl5,swe_patch,swe_32k,ko,swesmith/pudo__dataset.5c2dc8d3,train,1.0,1.0,0.0,trivial,0,False,1,30,18446
pygments__pygments.27649ebb.combine_file__45nwhbd4,swe_patch,swe_128k,en,swesmith/pygments__pygments.27649ebb,train,0.0,0.386033573777248,0.18000984604241957,very_hard,10,True,4,30,118116
pudo__dataset.5c2dc8d3.combine_file__lltfzw0k,swe_patch,swe_32k,en,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.0671793222853243,0.12574829109539026,very_hard,10,True,49,10,18291
pdfminer__pdfminer.six.1a8bd2f7.combine_file__sd1ohtqw,swe_patch,swe_64k,ko,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.10368247502171551,0.20316840152374685,very_hard,10,True,50,30,57757
bottlepy__bottle.a8dfef30.func_basic__0vv1q5yz,swe_patch,swe_128k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.025,0.03535533905932738,very_hard,10,True,6,30,96236
Suor__funcy.207a7810.combine_file__fkcvx1dp,swe_patch,swe_64k,en,swesmith/Suor__funcy.207a7810,train,0.0,0.025,0.03535533905932738,very_hard,10,True,4,30,38547
Suor__funcy.207a7810.combine_file__bnonopci,swe_patch,swe_64k,en,swesmith/Suor__funcy.207a7810,train,0.0,0.018750000000000003,0.03479852726768764,very_hard,10,True,4,30,38595
jaraco__inflect.c079a96a.func_basic__9yqwwre7,swe_patch,swe_64k,en,swesmith/jaraco__inflect.c079a96a,train,0.0,0.0,0.0,unsolved_no_signal,10,False,7,30,52585
jd__tenacity.0d40e76f.combine_file__s0bcdks5,swe_patch,swe_32k,ko,swesmith/jd__tenacity.0d40e76f,train,0.625,0.690625,0.39940140757763987,easy,4,True,4,30,27903
