instance_id,repo_or_image,data_source,n_f2p,n_p2p,p_hat,difficulty_band,subset,has_gold_patch,has_buggy_files,prompt_len_chars,harness_kind,language
pudo__dataset.5c2dc8d3.func_pm_op_change__fq79104s,swesmith/pudo__dataset.5c2dc8d3,t15_repo_patch,2,57,0.75,learnable,core,True,True,80467,swe_smith,en
bottlepy__bottle.a8dfef30.func_basic__0wprhjy0,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,2,363,0.75,learnable,core,True,True,247916,swe_smith,en
agronholm__typeguard.b6a7e438.combine_file__5py5l9eu,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,1,455,0.6,learnable,core,True,True,126783,swe_smith,ko
pyupio__safety.7654596b.combine_file__e5r40nb1,swesmith/pyupio__safety.7654596b,t15_repo_patch,26,92,0.4,learnable,core,True,True,265705,swe_smith,ko
Knio__dominate.9082227e.func_basic__vk3b9n0c,swesmith/Knio__dominate.9082227e,t15_repo_patch,1,64,0.75,learnable,core,True,True,91559,swe_smith,en
cknd__stackprinter.219fcc52.combine_file__tla0a4bg,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,2,5,0.4,learnable,core,True,True,90561,swe_smith,ko
pyupio__safety.7654596b.combine_module__7gp14oar,swesmith/pyupio__safety.7654596b,t15_repo_patch,2,116,0.25,learnable,core,True,True,130711,swe_smith,en
Knio__dominate.9082227e.func_basic__o8ou3kcn,swesmith/Knio__dominate.9082227e,t15_repo_patch,1,64,0.75,learnable,core,True,True,91186,swe_smith,ko
mahmoud__boltons.3bfcfdd0.combine_file__zbreonqj,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,3,409,0.6,learnable,core,True,True,465386,swe_smith,en
jd__tenacity.0d40e76f.combine_file__ktykmrgz,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,5,118,0.6,learnable,core,True,True,99636,swe_smith,en
pyupio__safety.7654596b.combine_file__ve70248y,swesmith/pyupio__safety.7654596b,t15_repo_patch,13,105,0.4,learnable,core,True,True,272341,swe_smith,en
cantools__cantools.0c6a7871.combine_file__1n52hkra,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,2,370,0.75,learnable,core,True,True,254588,swe_smith,en
cknd__stackprinter.219fcc52.func_basic__3j9zhzsn,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,1,6,0.75,learnable,core,True,True,91920,swe_smith,en
jaraco__inflect.c079a96a.func_basic__cey00xv0,swesmith/jaraco__inflect.c079a96a,t15_repo_patch,8,142,0.25,learnable,core,True,True,187376,swe_smith,en
luozhouyang__python-string-similarity.115acaac.func_basic__rkija2xk,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,1,17,0.4,learnable,core,True,True,78383,swe_smith,ko
pyupio__safety.7654596b.combine_file__sbf8hcsg,swesmith/pyupio__safety.7654596b,t15_repo_patch,13,105,0.25,learnable,core,True,True,130164,swe_smith,en
PyCQA__flake8.cf1542ce.combine_file__4w2x9qv4,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,46,366,0.4,learnable,core,True,True,321954,swe_smith,en
jaraco__inflect.c079a96a.func_basic__dbo4i67m,swesmith/jaraco__inflect.c079a96a,t15_repo_patch,7,143,0.75,learnable,core,True,True,187754,swe_smith,en
oauthlib__oauthlib.1fd52536.combine_file__5u9sk9ee,swesmith/oauthlib__oauthlib.1fd52536,t15_repo_patch,5,668,0.4,learnable,core,True,True,129095,swe_smith,en
pdfminer__pdfminer.six.1a8bd2f7.combine_file__s1ljna0u,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,53,116,0.4,learnable,core,True,True,116183,swe_smith,en
cantools__cantools.0c6a7871.combine_file__38ex0or2,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,2,370,0.6,learnable,core,True,True,132457,swe_smith,ko
bottlepy__bottle.a8dfef30.func_basic__3o4hv5ws,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,1,364,0.75,learnable,core,True,True,251936,swe_smith,ko
Suor__funcy.207a7810.combine_file__kf50a2ph,swesmith/Suor__funcy.207a7810,t15_repo_patch,2,201,0.6,learnable,core,True,True,136484,swe_smith,ko
pygments__pygments.27649ebb.combine_file__1uoyde1x,swesmith/pygments__pygments.27649ebb,t15_repo_patch,9,5051,0.4,learnable,core,True,True,229736,swe_smith,ko
pyupio__safety.7654596b.combine_module__9rn6emo5,swesmith/pyupio__safety.7654596b,t15_repo_patch,2,116,0.4,learnable,core,True,True,549251,swe_smith,en
cknd__stackprinter.219fcc52.combine_file__wvbrr8iz,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,2,4,0.4,learnable,core,True,True,90728,swe_smith,ko
Suor__funcy.207a7810.combine_file__b3usvi20,swesmith/Suor__funcy.207a7810,t15_repo_patch,2,201,0.6,learnable,core,True,True,100864,swe_smith,en
cknd__stackprinter.219fcc52.combine_file__tn5q5tqx,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,2,5,0.25,learnable,core,True,True,90461,swe_smith,ko
agronholm__exceptiongroup.0b4f4937.combine_file__t8u2uac6,swesmith/agronholm__exceptiongroup.0b4f4937,t15_repo_patch,10,79,0.4,learnable,core,True,True,112110,swe_smith,en
pyupio__safety.7654596b.combine_file__rof0dnio,swesmith/pyupio__safety.7654596b,t15_repo_patch,8,110,0.4,learnable,core,True,True,548399,swe_smith,ko
mahmoud__boltons.3bfcfdd0.func_basic__cgc05xp5,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,1,411,0.75,learnable,core,True,True,484285,swe_smith,en
Cog-Creators__Red-DiscordBot.33e0eac7.combine_file__eq2t7cw0,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,t15_repo_patch,4,262,0.6,learnable,core,True,True,562282,swe_smith,en
joke2k__faker.8b401a7d.combine_module__dk371i7h,swesmith/joke2k__faker.8b401a7d,t15_repo_patch,5,2098,0.4,learnable,core,True,True,202918,swe_smith,ko
mahmoud__boltons.3bfcfdd0.combine_file__ol79yd75,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,2,410,0.4,learnable,core,True,True,106996,swe_smith,en
Suor__funcy.207a7810.combine_file__5pn9f8oq,swesmith/Suor__funcy.207a7810,t15_repo_patch,4,199,0.4,learnable,core,True,True,138791,swe_smith,en
Suor__funcy.207a7810.combine_file__kgrqkjkr,swesmith/Suor__funcy.207a7810,t15_repo_patch,15,188,0.4,learnable,core,True,True,136477,swe_smith,ko
oauthlib__oauthlib.1fd52536.combine_file__39khb9no,swesmith/oauthlib__oauthlib.1fd52536,t15_repo_patch,1,672,0.6,learnable,core,True,True,132241,swe_smith,en
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__1qhrm4tp,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,t15_repo_patch,3,265,0.6,learnable,core,True,True,544686,swe_smith,ko
cknd__stackprinter.219fcc52.combine_file__rmvmrjvl,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,1,6,0.4,learnable,core,True,True,92229,swe_smith,en
agronholm__typeguard.b6a7e438.combine_file__l6xpw0sc,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,50,406,0.4,learnable,core,True,True,124092,swe_smith,en
bottlepy__bottle.a8dfef30.func_basic__6b8t5a7k,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,8,357,0.75,learnable,core,True,True,361329,swe_smith,ko
jaraco__inflect.c079a96a.func_basic__e6bhg47n,swesmith/jaraco__inflect.c079a96a,t15_repo_patch,8,142,0.4,learnable,core,True,True,187203,swe_smith,en
joke2k__faker.8b401a7d.combine_file__30sjljt6,swesmith/joke2k__faker.8b401a7d,t15_repo_patch,3,2100,0.4,learnable,core,True,True,306545,swe_smith,ko
jaraco__inflect.c079a96a.func_basic__eyxpbrah,swesmith/jaraco__inflect.c079a96a,t15_repo_patch,7,143,0.6,learnable,core,True,True,187119,swe_smith,en
PyCQA__flake8.cf1542ce.combine_file__v8lc596p,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,5,414,0.4,learnable,core,True,True,117237,swe_smith,en
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__k8yyxz57,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,t15_repo_patch,5,263,0.6,learnable,core,True,True,550264,swe_smith,ko
pdfminer__pdfminer.six.1a8bd2f7.func_basic__1ageli1n,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,2,167,0.4,learnable,core,True,True,114812,swe_smith,en
pygments__pygments.27649ebb.combine_file__1av74s7e,swesmith/pygments__pygments.27649ebb,t15_repo_patch,29,5031,0.25,learnable,core,True,True,447987,swe_smith,en
cantools__cantools.0c6a7871.combine_file__2brlcts5,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,7,365,0.6,learnable,core,True,True,113659,swe_smith,en
luozhouyang__python-string-similarity.115acaac.func_basic__1ouyfaee,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,2,16,0.6,learnable,core,True,True,78741,swe_smith,en
pyupio__safety.7654596b.combine_module__6gxvy2xw,swesmith/pyupio__safety.7654596b,t15_repo_patch,1,117,0.6,learnable,core,True,True,270828,swe_smith,ko
cknd__stackprinter.219fcc52.combine_file__eusfx4hz,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,1,6,0.6,learnable,core,True,True,91525,swe_smith,en
pyupio__safety.7654596b.combine_module__5bh42ayv,swesmith/pyupio__safety.7654596b,t15_repo_patch,4,114,0.4,learnable,core,True,True,550154,swe_smith,ko
jaraco__inflect.c079a96a.func_basic__5cucjnbf,swesmith/jaraco__inflect.c079a96a,t15_repo_patch,1,149,0.75,learnable,core,True,True,187132,swe_smith,en
pdfminer__pdfminer.six.1a8bd2f7.func_basic__06convwo,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,1,168,0.6,learnable,core,True,True,156750,swe_smith,en
Knio__dominate.9082227e.combine_file__goh3sa64,swesmith/Knio__dominate.9082227e,t15_repo_patch,5,60,0.6,learnable,core,True,True,91770,swe_smith,ko
jaraco__inflect.c079a96a.func_basic__f3ammn7c,swesmith/jaraco__inflect.c079a96a,t15_repo_patch,13,137,0.75,learnable,core,True,True,187133,swe_smith,en
Knio__dominate.9082227e.func_pm_ctrl_shuffle__p7q9mdxe,swesmith/Knio__dominate.9082227e,t15_repo_patch,1,64,0.75,learnable,core,True,True,91893,swe_smith,ko
cantools__cantools.0c6a7871.combine_file__1n4yyvlw,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,4,368,0.75,learnable,core,True,True,106271,swe_smith,en
luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_base__9yoz5qo5,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,1,17,0.75,learnable,core,True,True,78505,swe_smith,en
PyCQA__flake8.cf1542ce.combine_file__ddyvctvg,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,3,416,0.6,learnable,core,True,True,120015,swe_smith,ko
agronholm__typeguard.b6a7e438.combine_file__z8bzaj2a,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,122,334,0.25,learnable,core,True,True,284172,swe_smith,ko
oauthlib__oauthlib.1fd52536.combine_file__519420f6,swesmith/oauthlib__oauthlib.1fd52536,t15_repo_patch,71,602,0.4,learnable,core,True,True,528496,swe_smith,en
agronholm__exceptiongroup.0b4f4937.combine_module__3hhws1dx,swesmith/agronholm__exceptiongroup.0b4f4937,t15_repo_patch,28,61,0.4,learnable,core,True,True,110256,swe_smith,ko
Knio__dominate.9082227e.func_basic__n967oo4y,swesmith/Knio__dominate.9082227e,t15_repo_patch,4,61,0.75,learnable,core,True,True,91045,swe_smith,ko
agronholm__typeguard.b6a7e438.combine_module__1knoriqb,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,109,301,0.25,learnable,core,True,True,285645,swe_smith,ko
pygments__pygments.27649ebb.combine_file__2u34qh2v,swesmith/pygments__pygments.27649ebb,t15_repo_patch,208,4852,0.6,learnable,core,True,True,242676,swe_smith,en
pyupio__safety.7654596b.combine_file__m92kensw,swesmith/pyupio__safety.7654596b,t15_repo_patch,4,114,0.4,learnable,core,True,True,267246,swe_smith,en
mahmoud__boltons.3bfcfdd0.combine_file__ihyco1e8,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,2,410,0.6,learnable,core,True,True,475488,swe_smith,ko
jd__tenacity.0d40e76f.combine_file__hmo3b7hp,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,26,97,0.4,learnable,core,True,True,122292,swe_smith,en
pygments__pygments.27649ebb.combine_file__3zhkehcy,swesmith/pygments__pygments.27649ebb,t15_repo_patch,11,5049,0.4,learnable,core,True,True,224147,swe_smith,en
jaraco__inflect.c079a96a.func_basic__5pzge45q,swesmith/jaraco__inflect.c079a96a,t15_repo_patch,6,144,0.6,learnable,core,True,True,186782,swe_smith,en
mahmoud__boltons.3bfcfdd0.func_basic__5vq1fa1x,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,4,408,0.75,learnable,core,True,True,105080,swe_smith,ko
agronholm__exceptiongroup.0b4f4937.combine_file__74zzufuj,swesmith/agronholm__exceptiongroup.0b4f4937,t15_repo_patch,38,51,0.75,learnable,core,True,True,110445,swe_smith,ko
oauthlib__oauthlib.1fd52536.combine_file__0qgnxkrq,swesmith/oauthlib__oauthlib.1fd52536,t15_repo_patch,13,660,0.6,learnable,core,True,True,528955,swe_smith,en
cantools__cantools.0c6a7871.combine_file__07mxw5uc,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,8,364,0.25,learnable,core,True,True,501007,swe_smith,ko
agronholm__exceptiongroup.0b4f4937.combine_file__m8abag3k,swesmith/agronholm__exceptiongroup.0b4f4937,t15_repo_patch,33,56,0.6,learnable,core,True,True,110675,swe_smith,en
oauthlib__oauthlib.1fd52536.combine_file__0mvyid7d,swesmith/oauthlib__oauthlib.1fd52536,t15_repo_patch,13,660,0.6,learnable,core,True,True,128287,swe_smith,ko
pyupio__safety.7654596b.combine_file__mwteckxl,swesmith/pyupio__safety.7654596b,t15_repo_patch,1,117,0.75,learnable,core,True,True,548753,swe_smith,en
bottlepy__bottle.a8dfef30.func_basic__35d6hr69,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,61,304,0.6,learnable,core,True,True,361544,swe_smith,en
cantools__cantools.0c6a7871.combine_file__2yrjny26,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,4,368,0.6,learnable,core,True,True,411768,swe_smith,ko
Knio__dominate.9082227e.pr_166,swesmith/Knio__dominate.9082227e,t15_repo_patch,1,64,0.75,learnable,core,True,True,91844,swe_smith,en
agronholm__typeguard.b6a7e438.combine_module__1qs2br8y,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,190,220,0.25,learnable,core,True,True,122734,swe_smith,ko
luozhouyang__python-string-similarity.115acaac.combine_file__d9cyukdt,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,2,16,0.4,learnable,core,True,True,79083,swe_smith,en
bottlepy__bottle.a8dfef30.func_basic__5jjbzd7u,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,1,364,0.75,learnable,core,True,True,361436,swe_smith,en
jd__tenacity.0d40e76f.combine_file__l80x0v9y,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,95,28,0.75,learnable,core,True,True,158387,swe_smith,en
pdfminer__pdfminer.six.1a8bd2f7.combine_file__k4rf315w,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,35,134,0.25,learnable,core,True,True,106125,swe_smith,en
pdfminer__pdfminer.six.1a8bd2f7.combine_file__4bmgk2fe,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,35,134,0.4,learnable,core,True,True,113687,swe_smith,ko
agronholm__typeguard.b6a7e438.combine_file__klhoyyyb,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,4,452,0.6,learnable,core,True,True,286376,swe_smith,en
jd__tenacity.0d40e76f.combine_module__nakua4hv,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,15,108,0.4,learnable,core,True,True,98615,swe_smith,ko
luozhouyang__python-string-similarity.115acaac.combine_file__jzax0e58,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,6,12,0.4,learnable,core,True,True,79389,swe_smith,ko
agronholm__typeguard.b6a7e438.combine_file__vt93kwbv,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,1,455,0.6,learnable,core,True,True,285675,swe_smith,ko
bottlepy__bottle.a8dfef30.func_basic__5wlfrp85,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,18,347,0.6,learnable,core,True,True,247784,swe_smith,en
oauthlib__oauthlib.1fd52536.combine_file__1utlssis,swesmith/oauthlib__oauthlib.1fd52536,t15_repo_patch,1,672,0.4,learnable,core,True,True,261229,swe_smith,ko
pudo__dataset.5c2dc8d3.func_pm_remove_assign__wisytcfw,swesmith/pudo__dataset.5c2dc8d3,t15_repo_patch,2,57,0.75,learnable,core,True,True,79878,swe_smith,ko
pyupio__safety.7654596b.combine_file__ar1yz5p5,swesmith/pyupio__safety.7654596b,t15_repo_patch,1,117,0.4,learnable,core,True,True,134309,swe_smith,en
mahmoud__boltons.3bfcfdd0.combine_file__ozufqtez,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,2,410,0.4,learnable,core,True,True,227912,swe_smith,en
bottlepy__bottle.a8dfef30.func_basic__1dt250gk,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,2,363,0.75,learnable,core,True,True,248824,swe_smith,ko
cknd__stackprinter.219fcc52.combine_file__762052u8,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,2,5,0.6,learnable,core,True,True,91549,swe_smith,en
jd__tenacity.0d40e76f.combine_file__s88gei6c,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,14,109,0.6,learnable,core,True,True,159193,swe_smith,en
pudo__dataset.5c2dc8d3.combine_file__4oc6t9ws,swesmith/pudo__dataset.5c2dc8d3,t15_repo_patch,5,54,0.75,learnable,core,True,True,80841,swe_smith,en
PyCQA__flake8.cf1542ce.func_basic__4p568z8i,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,4,415,0.75,learnable,core,True,True,119788,swe_smith,en
cantools__cantools.0c6a7871.combine_file__2x8k5l18,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,23,349,0.4,learnable,core,True,True,221729,swe_smith,en
pudo__dataset.5c2dc8d3.combine_file__2krxnkkn,swesmith/pudo__dataset.5c2dc8d3,t15_repo_patch,30,28,0.4,learnable,core,True,True,80021,swe_smith,ko
Knio__dominate.9082227e.combine_file__d7fon4r9,swesmith/Knio__dominate.9082227e,t15_repo_patch,7,58,0.4,learnable,core,True,True,91636,swe_smith,ko
pudo__dataset.5c2dc8d3.func_pm_op_change_const__06dgb4ak,swesmith/pudo__dataset.5c2dc8d3,t15_repo_patch,2,57,0.75,learnable,core,True,True,80606,swe_smith,en
pdfminer__pdfminer.six.1a8bd2f7.combine_file__n3q10r4i,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,6,163,0.25,learnable,core,True,True,115913,swe_smith,ko
Suor__funcy.207a7810.combine_file__n10h9w68,swesmith/Suor__funcy.207a7810,t15_repo_patch,8,195,0.6,learnable,core,True,True,101812,swe_smith,ko
mahmoud__boltons.3bfcfdd0.func_basic__4qcfel1l,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,5,407,0.75,learnable,core,True,True,470376,swe_smith,ko
oauthlib__oauthlib.1fd52536.combine_file__868k2n2u,swesmith/oauthlib__oauthlib.1fd52536,t15_repo_patch,6,667,0.25,learnable,core,True,True,272720,swe_smith,ko
